"","Column","activity_nr","X.x","reporting_id","state_flag","estab_name","site_address","site_city","site_state","site_zip","owner_type","owner_code","adv_notice","safety_hlth","sic_code","naics_code","insp_type","insp_scope","why_no_insp","union_status","safety_manuf","safety_const","safety_marit","health_manuf","health_const","health_marit","migrant","mail_street","mail_city","mail_state","mail_zip","host_est_key","nr_in_estab","open_date","case_mod_date","close_conf_date","close_case_date","ld_dt","year","X.y","citation_id","delete_flag","standard","viol_type","issuance_date","abate_date","abate_complete","current_penalty","initial_penalty","contest_date","final_order_date","nr_instances","nr_exposed","rec","gravity","emphasis","hazcat","fta_insp_nr","fta_issuance_date","fta_penalty","fta_contest_date","fta_final_order_date","hazsub1","hazsub2","hazsub3","hazsub4","hazsub5","load_dt"
"1",58,119948990,8,950633,NA,"CALIF STATE DEPT CORRECTIONS PRISON IND. AUTHORITY","14901 SOUTH CENTRAL AVENUE","CHINO","CA",91708,"C",0,"N","H",9223,0,"H","B","","Y","","",NA,"","","",NA,"POST OFFICE BOX 1031","CHINO","CA",91710,"N088    000017014",1,"2000-11-17","2013-04-11","2001-03-23","2010-09-13","2013-04-13 04:04:35 EDT",2010,8322028,"01005","","5144 H02    A","O","2001-03-06","2001-04-09","X",150,150,"","",1,1,"",NA,NA,"",NA,"",NA,NA,NA,"1430","",NA,"",NA,"2013-04-13 04:04:38 EDT"
"2",59,119948990,8,950633,NA,"CALIF STATE DEPT CORRECTIONS PRISON IND. AUTHORITY","14901 SOUTH CENTRAL AVENUE","CHINO","CA",91708,"C",0,"N","H",9223,0,"H","B","","Y","","",NA,"","","",NA,"POST OFFICE BOX 1031","CHINO","CA",91710,"N088    000017014",1,"2000-11-17","2013-04-11","2001-03-23","2010-09-13","2013-04-13 04:04:35 EDT",2010,8322017,"01008","","4650 D","O","2001-03-06","2001-04-09","X",150,150,"","",1,1,"",NA,NA,"",NA,"",NA,NA,NA,"","",NA,"",NA,"2013-04-13 04:04:38 EDT"
"3",60,119948990,8,950633,NA,"CALIF STATE DEPT CORRECTIONS PRISON IND. AUTHORITY","14901 SOUTH CENTRAL AVENUE","CHINO","CA",91708,"C",0,"N","H",9223,0,"H","B","","Y","","",NA,"","","",NA,"POST OFFICE BOX 1031","CHINO","CA",91710,"N088    000017014",1,"2000-11-17","2013-04-11","2001-03-23","2010-09-13","2013-04-13 04:04:35 EDT",2010,8322018,"01002","","3277 D03","O","2001-03-06","2001-04-09","X",150,150,"","",1,1,"",NA,NA,"",NA,"",NA,NA,NA,"8880","",NA,"",NA,"2013-04-13 04:04:38 EDT"
"4",61,119948990,8,950633,NA,"CALIF STATE DEPT CORRECTIONS PRISON IND. AUTHORITY","14901 SOUTH CENTRAL AVENUE","CHINO","CA",91708,"C",0,"N","H",9223,0,"H","B","","Y","","",NA,"","","",NA,"POST OFFICE BOX 1031","CHINO","CA",91710,"N088    000017014",1,"2000-11-17","2013-04-11","2001-03-23","2010-09-13","2013-04-13 04:04:35 EDT",2010,8322019,"01010","","5162 D","O","2001-03-06","2001-06-09","X",150,150,"","",1,1,"",NA,NA,"",NA,"",NA,NA,NA,"8880","",NA,"",NA,"2013-04-13 04:04:38 EDT"
"5",62,119948990,8,950633,NA,"CALIF STATE DEPT CORRECTIONS PRISON IND. AUTHORITY","14901 SOUTH CENTRAL AVENUE","CHINO","CA",91708,"C",0,"N","H",9223,0,"H","B","","Y","","",NA,"","","",NA,"POST OFFICE BOX 1031","CHINO","CA",91710,"N088    000017014",1,"2000-11-17","2013-04-11","2001-03-23","2010-09-13","2013-04-13 04:04:35 EDT",2010,8322020,"01011","","5162 E","O","2001-03-06","2001-06-09","X",150,150,"","",1,1,"",NA,NA,"",NA,"",NA,NA,NA,"8880","",NA,"",NA,"2013-04-13 04:04:38 EDT"
"6",63,119948990,8,950633,NA,"CALIF STATE DEPT CORRECTIONS PRISON IND. AUTHORITY","14901 SOUTH CENTRAL AVENUE","CHINO","CA",91708,"C",0,"N","H",9223,0,"H","B","","Y","","",NA,"","","",NA,"POST OFFICE BOX 1031","CHINO","CA",91710,"N088    000017014",1,"2000-11-17","2013-04-11","2001-03-23","2010-09-13","2013-04-13 04:04:35 EDT",2010,8322021,"01012","","14301 A01","O","2001-03-06","2001-06-09","X",300,300,"","",1,1,"",NA,NA,"",NA,"",NA,NA,NA,"","",NA,"",NA,"2013-04-13 04:04:38 EDT"
"7",64,119948990,8,950633,NA,"CALIF STATE DEPT CORRECTIONS PRISON IND. AUTHORITY","14901 SOUTH CENTRAL AVENUE","CHINO","CA",91708,"C",0,"N","H",9223,0,"H","B","","Y","","",NA,"","","",NA,"POST OFFICE BOX 1031","CHINO","CA",91710,"N088    000017014",1,"2000-11-17","2013-04-11","2001-03-23","2010-09-13","2013-04-13 04:04:35 EDT",2010,8322022,"01013","X","5194 G08","O","2001-03-06","2001-04-09","X",NA,150,"","",1,1,"",NA,NA,"",NA,"",NA,NA,NA,"1340","",NA,"",NA,"2013-04-13 04:04:38 EDT"
"8",65,119948990,8,950633,NA,"CALIF STATE DEPT CORRECTIONS PRISON IND. AUTHORITY","14901 SOUTH CENTRAL AVENUE","CHINO","CA",91708,"C",0,"N","H",9223,0,"H","B","","Y","","",NA,"","","",NA,"POST OFFICE BOX 1031","CHINO","CA",91710,"N088    000017014",1,"2000-11-17","2013-04-11","2001-03-23","2010-09-13","2013-04-13 04:04:35 EDT",2010,8322023,"01014","","3441 A","O","2001-03-06","2001-06-09","X",150,150,"","",1,1,"",NA,NA,"",NA,"",NA,NA,NA,"8880","",NA,"",NA,"2013-04-13 04:04:38 EDT"
"9",66,119948990,8,950633,NA,"CALIF STATE DEPT CORRECTIONS PRISON IND. AUTHORITY","14901 SOUTH CENTRAL AVENUE","CHINO","CA",91708,"C",0,"N","H",9223,0,"H","B","","Y","","",NA,"","","",NA,"POST OFFICE BOX 1031","CHINO","CA",91710,"N088    000017014",1,"2000-11-17","2013-04-11","2001-03-23","2010-09-13","2013-04-13 04:04:35 EDT",2010,8322024,"01001","","5532 A","O","2001-03-06","2001-04-09","X",150,150,"","",1,1,"",NA,NA,"",NA,"",NA,NA,NA,"1340","",NA,"",NA,"2013-04-13 04:04:38 EDT"
"10",67,119948990,8,950633,NA,"CALIF STATE DEPT CORRECTIONS PRISON IND. AUTHORITY","14901 SOUTH CENTRAL AVENUE","CHINO","CA",91708,"C",0,"N","H",9223,0,"H","B","","Y","","",NA,"","","",NA,"POST OFFICE BOX 1031","CHINO","CA",91710,"N088    000017014",1,"2000-11-17","2013-04-11","2001-03-23","2010-09-13","2013-04-13 04:04:35 EDT",2010,8322025,"03001","","23400011 A01","S","2001-03-06","2001-06-09","X",4500,4500,"","",1,1,"",NA,NA,"",NA,"",NA,NA,NA,"8870","",NA,"",NA,"2013-04-13 04:04:38 EDT"
